TOWER,FLOOR,APARTMENT NO.,AREA,FACING,CORNER,TYPE
G,15,1507,2113,East,YES,3 BHK
G,15,1508,2113,West,YES,3 BHK
G,16,1601,2134,West,YES,3 BHK
G,16,1602,2134,East,YES,3 BHK
G,16,1603,1733,West,NO,3 BHK
G,16,1604,1733,West,NO,3 BHK
G,16,1605,1733,East,NO,3 BHK
G,16,1606,1733,West,NO,3 BHK
G,16,1607,2113,East,YES,3 BHK
G,16,1608,2113,West,YES,3 BHK
G,17,1701,2134,West,YES,3 BHK
G,17,1702,2134,East,YES,3 BHK
G,17,1703,1733,West,NO,3 BHK
G,17,1704,1733,West,NO,3 BHK
G,17,1705,1733,East,NO,3 BHK
G,17,1706,1733,West,NO,3 BHK
G,17,1707,2113,East,YES,3 BHK
G,17,1708,2113,West,YES,3 BHK
